Timestamp,Ability,Wait Time-E6S
-12,RoE,
-1,TN,11
00:37,Mantra,38
00:40,Feint,3
00:50,RoE,10
01:10,TN,20
01:45,TN,35
01:50,RoE,5
02:39,Mantra,49
02:48,Feint,9
02:50,TN,2
02:50,RoE,0
03:10,TN,20
03:52,RoE,42
04:09,Mantra,17
04:24,Feint,15
04:39,TN,15
04:49,TN,10
05:05,RoE,16
05:55,TN,50
06:00,Feint,5
06:05,RoE,5
06:17,Mantra,12
06:47,TN,30
07:23,RoE,36
07:23,TN,0
07:42,TN,19
07:55,Feint,13
08:09,Mantra,14
08:23,RoE,14
08:59,TN,36
09:30,Feint,31
09:33,RoE,3
10:08,TN,35
10:20,TN,12
